date,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Weekday Name
2014-06-01,1.0,0.68,1.0,10.0,4.0,1.0,1.0,3.0,2014,6,276,Sunday
2014-06-02,4.0,4.34,10.0,23.3,16.0,3.0,0.0,3.0,2014,6,276,Monday
2014-06-03,3.0,2.0,2.4,24.0,7.0,2.0,5.0,3.0,2014,6,276,Tuesday
2014-06-04,1.0,4.68,3.5,24.0,6.0,0.0,1.0,2.5,2014,6,276,Wednesday
2014-06-05,0.34,4.68,4.5,22.5,4.0,0.0,0.0,5.0,2014,6,276,Thursday
2014-06-06,5.0,1.68,3.0,16.625,15.0,2.0,1.0,5.0,2014,6,276,Friday
2014-06-07,9.0,3.68,7.5,33.0,8.0,1.0,6.0,7.0,2014,6,276,Saturday
2014-06-08,1.0,2.0,3.0,11.0,8.0,0.0,6.0,2.0,2014,6,276,Sunday
2014-06-09,6.33,1.34,5.0,18.0,17.0,4.0,0.0,11.0,2014,6,276,Monday
2014-06-10,8.68,2.68,4.3,23.0,16.0,2.0,2.0,6.5,2014,6,276,Tuesday
2014-06-11,4.34,0.68,2.3,12.5,16.0,2.0,12.0,9.0,2014,6,276,Wednesday
2014-06-12,4.34,3.0,1.0,15.8,12.0,0.0,2.0,3.0,2014,6,276,Thursday
2014-06-13,1.0,2.68,5.0,10.0,11.0,0.0,3.0,1.0,2014,6,276,Friday
2014-06-14,4.0,5.02,6.0,8.0,10.0,0.0,1.0,3.0,2014,6,276,Saturday
2014-06-15,0.34,2.0,0.0,8.0,5.0,0.0,0.0,3.3,2014,6,276,Sunday
2014-06-16,4.34,4.34,7.4,12.2,11.0,0.0,5.0,5.0,2014,6,276,Monday
2014-06-17,5.0,2.34,4.0,14.0,12.0,2.0,0.0,3.0,2014,6,276,Tuesday
2014-06-18,2.0,2.0,4.7,18.0,6.0,0.0,1.0,3.0,2014,6,276,Wednesday
2014-06-19,3.0,3.33,1.0,14.0,8.0,0.0,0.0,1.0,2014,6,276,Thursday
2014-06-20,7.34,2.02,3.0,14.5,9.0,0.0,3.0,6.0,2014,6,276,Friday
2014-06-21,6.0,5.68,2.0,16.0,12.0,3.0,0.0,3.0,2014,6,276,Saturday
2014-06-22,4.0,1.02,4.0,18.0,8.0,0.0,2.0,3.0,2014,6,276,Sunday
2014-06-23,2.34,7.68,3.0,25.2,12.0,0.0,2.0,3.0,2014,6,276,Monday
2014-06-24,3.0,5.14,4.0,16.2,23.0,0.0,2.0,4.0,2014,6,276,Tuesday
2014-06-25,8.0,5.34,7.0,33.8,19.0,0.0,0.0,1.0,2014,6,276,Wednesday
2014-06-26,3.0,2.0,11.3,19.3,14.0,0.0,0.0,1.0,2014,6,276,Thursday
2014-06-27,4.34,1.0,6.0,32.3,13.0,0.0,1.0,3.0,2014,6,276,Friday
2014-06-28,0.34,5.34,5.0,20.0,14.0,1.0,1.0,5.0,2014,6,276,Saturday
2014-06-29,0.0,1.0,1.0,10.0,1.0,0.0,0.0,1.0,2014,6,276,Sunday
2014-06-30,6.0,5.34,1.0,25.0,6.0,0.0,0.0,0.0,2014,6,276,Monday
