date,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-05-02,7.34,7.34,6.3,39.5,16.0,1.0,12.0,2.0
2014-05-03,4.0,5.34,2.0,14.6,5.0,2.0,0.0,2.5
2014-05-04,1.67,4.69,1.2,20.0,3.0,0.0,0.0,3.0
2014-05-05,3.0,5.785,5.0,20.0,7.0,0.0,3.0,4.0
2014-05-06,7.34,4.36,4.0,22.0,10.0,2.0,6.0,5.0
2014-05-07,3.33,6.32,3.0,16.8,8.0,1.0,3.0,11.0
2014-05-08,2.0,2.34,3.4,20.4,10.0,3.0,0.0,5.0
2014-05-09,2.0,5.0,4.2,16.0,12.0,2.0,1.0,2.0
2014-05-10,5.0,6.0,9.0,39.4,15.0,3.0,1.0,5.0
2014-05-11,2.0,2.68,1.0,17.0,7.0,0.0,1.0,4.0
2014-05-12,4.34,3.34,9.0,12.0,8.0,0.0,5.0,2.0
2014-05-13,3.68,0.34,6.2,32.0,7.0,0.0,25.0,7.5
2014-05-14,1.0,4.02,6.0,24.3,4.0,0.0,0.0,3.0
2014-05-15,2.34,2.02,3.0,19.3,7.0,0.0,1.0,2.0
2014-05-16,5.34,7.0,3.0,22.0,10.0,1.0,11.0,1.0
2014-05-17,2.34,7.68,3.0,35.0,14.0,1.0,0.0,2.0
2014-05-18,3.34,2.0,5.0,9.4,6.0,0.0,0.0,1.0
2014-05-19,8.34,3.84,6.1,12.8,5.0,0.0,3.0,9.0
2014-05-20,1.0,2.375,7.0,27.0,10.0,1.0,0.0,3.6
2014-05-21,2.0,4.68,9.5,15.4,6.0,1.0,0.0,3.0
2014-05-22,3.68,1.33,1.2,8.0,8.0,0.0,2.0,4.0
2014-05-23,5.0,2.34,3.9,17.5,8.0,2.0,10.0,7.0
2014-05-24,3.0,4.713,5.0,28.0,11.0,1.0,0.0,9.0
2014-05-25,2.0,3.0,1.0,7.0,8.0,0.0,5.0,1.0
2014-05-26,2.68,3.34,7.4,18.0,7.0,1.0,0.0,5.0
2014-05-27,0.0,2.34,5.0,28.6,12.0,1.0,1.0,6.0
2014-05-28,1.34,5.02,1.4,10.28,9.0,0.0,2.0,5.1
2014-05-29,4.0,5.34,6.3,27.0,13.0,0.0,0.0,2.0
2014-05-30,3.02,2.02,2.0,21.5,14.0,0.0,0.0,5.0
2014-05-31,5.67,3.34,2.0,28.0,10.0,0.0,15.0,2.0
