datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Weekday Name
2014-07-01,4.34,2.34,2.0,19.0,10.0,0.0,0.0,2.0,2014,7,276,Tuesday
2014-07-02,3.0,0.34,4.0,21.6,7.0,0.0,6.0,3.0,2014,7,276,Wednesday
2014-07-03,2.33,5.68,7.0,12.5,7.0,2.0,0.0,2.0,2014,7,276,Thursday
2014-07-04,4.34,4.7,7.0,10.5,14.0,0.0,2.0,3.0,2014,7,276,Friday
2014-07-05,3.34,4.34,6.0,37.0,11.0,1.0,0.0,0.0,2014,7,276,Saturday
2014-07-06,4.0,2.0,3.0,10.2,9.0,0.0,0.0,0.0,2014,7,276,Sunday
2014-07-07,2.0,3.34,4.0,13.0,11.0,0.0,0.0,4.0,2014,7,276,Monday
2014-07-08,6.34,2.34,3.0,14.0,3.0,0.0,5.0,1.0,2014,7,276,Tuesday
2014-07-09,3.0,6.34,5.0,13.0,6.0,4.0,0.0,2.2,2014,7,276,Wednesday
2014-07-10,2.33,4.66,8.0,21.2,32.0,0.0,5.0,4.0,2014,7,276,Thursday
2014-07-11,2.0,1.68,3.2,16.5,17.0,0.0,5.0,1.0,2014,7,276,Friday
2014-07-12,8.34,2.68,10.5,28.1,12.0,3.0,12.0,4.0,2014,7,276,Saturday
2014-07-13,2.0,1.34,1.0,17.0,2.0,0.0,0.0,0.0,2014,7,276,Sunday
2014-07-14,5.0,3.04,3.0,11.8,19.0,1.0,2.0,2.0,2014,7,276,Monday
2014-07-15,3.34,1.68,1.0,15.6,18.0,0.0,0.0,1.3,2014,7,276,Tuesday
2014-07-16,4.0,3.34,3.0,13.0,12.0,1.0,4.0,0.0,2014,7,276,Wednesday
2014-07-17,2.0,3.0,5.0,25.0,14.0,1.0,0.0,1.0,2014,7,276,Thursday
2014-07-18,9.0,2.34,1.5,14.2,6.0,3.0,0.0,4.0,2014,7,276,Friday
2014-07-19,7.33,7.02,6.0,8.4,10.0,0.0,6.0,6.0,2014,7,276,Saturday
2014-07-20,3.0,0.34,1.0,8.0,5.0,0.0,0.0,0.1,2014,7,276,Sunday
2014-07-21,3.0,4.68,8.0,20.0,13.0,1.0,0.0,2.0,2014,7,276,Monday
2014-07-22,5.0,5.68,3.0,9.0,7.0,0.0,1.0,2.0,2014,7,276,Tuesday
2014-07-23,2.67,6.37,2.0,8.0,19.0,0.0,0.0,3.0,2014,7,276,Wednesday
2014-07-24,5.34,2.0,4.4,23.0,5.0,0.0,0.0,2.0,2014,7,276,Thursday
2014-07-25,5.0,2.02,7.5,10.0,15.0,1.0,1.0,2.0,2014,7,276,Friday
2014-07-26,4.0,6.68,6.2,36.2,13.0,0.0,0.0,4.0,2014,7,276,Saturday
2014-07-27,3.0,1.34,2.0,10.0,5.0,0.0,6.0,1.0,2014,7,276,Sunday
2014-07-28,2.0,1.34,2.0,9.1,9.0,0.0,0.0,2.0,2014,7,276,Monday
2014-07-29,2.34,0.68,1.0,13.0,15.0,3.0,0.0,5.0,2014,7,276,Tuesday
2014-07-30,0.68,1.34,5.0,13.5,14.0,0.0,6.0,4.5,2014,7,276,Wednesday
2014-07-31,3.0,0.34,4.0,10.5,8.0,0.0,0.0,1.0,2014,7,276,Thursday
