date,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
2014-02-01,4.33,4.32,5.0,43.0,13.0,1.0,14.0,0.0
2014-02-02,7.0,3.0,0.2,13.5,6.0,2.0,8.0,0.0
2014-02-03,5.0,1.0,8.5,32.4,16.0,1.0,1.0,0.0
2014-02-04,1.33,3.0,7.0,30.6,8.0,1.0,17.0,2.0
2014-02-05,3.0,4.02,6.2,32.4,15.0,1.0,1.0,1.0
2014-02-06,3.33,6.68,3.5,41.4,17.0,2.0,5.0,2.0
2014-02-07,2.66,8.67,11.7,21.4,19.0,1.0,0.0,0.0
2014-02-08,3.33,3.35,14.4,37.1,13.0,1.0,1.0,1.0
2014-02-09,4.0,3.0,2.0,31.5,10.0,0.0,6.0,0.0
2014-02-10,5.0,10.33,8.5,40.1,20.0,3.0,3.0,1.0
2014-02-11,10.0,6.99,13.3,44.6,20.0,2.0,6.0,2.2
2014-02-12,9.0,1.67,9.1,73.6,9.0,0.0,5.0,0.0
2014-02-13,4.33,3.67,10.0,49.1,13.0,3.0,0.0,1.0
2014-02-14,4.0,4.01,3.2,42.3,13.0,4.0,0.0,6.0
2014-02-15,1.0,2.34,2.0,37.0,9.0,0.0,1.0,5.0
2014-02-16,0.0,1.68,1.2,34.0,5.0,2.0,3.0,1.0
2014-02-17,7.34,4.0,12.7,27.0,13.0,1.0,7.0,0.0
2014-02-18,7.34,7.36,6.1,45.0,14.0,0.0,13.0,5.0
2014-02-19,3.33,5.02,5.5,66.8,17.0,1.0,6.0,1.0
2014-02-20,7.0,7.02,3.2,21.5,16.0,3.0,8.0,1.0
2014-02-21,6.0,4.34,9.0,25.4,17.0,0.0,0.0,0.0
2014-02-22,7.0,3.17,5.7,26.0,12.0,0.0,1.0,0.0
2014-02-23,1.0,3.34,2.0,21.0,10.0,0.0,0.0,0.0
2014-02-24,7.0,4.68,5.5,26.5,4.0,0.0,0.0,3.0
2014-02-25,5.0,1.68,11.2,34.5,13.0,0.0,0.0,2.0
2014-02-26,5.0,4.01,1.0,34.0,5.0,0.0,12.0,1.0
2014-02-27,3.0,6.34,4.0,33.2,8.0,1.0,2.0,1.0
2014-02-28,7.0,7.36,5.3,37.0,12.0,1.0,2.0,0.0
