date,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
2014-01-02,0.0,3.67,3.4,32.4,7.0,0.0,0.0,2.0
2014-01-03,8.0,4.0,4.4,50.6,16.0,0.0,20.0,4.0
2014-01-04,2.0,1.0,6.5,61.85,10.0,0.0,9.0,1.0
2014-01-05,4.0,3.0,7.0,41.1,8.0,0.0,3.0,0.0
2014-01-06,5.0,1.0,4.5,21.7,16.0,2.0,6.0,2.0
2014-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-08,5.33,3.0,10.5,26.4,19.0,1.0,10.0,0.0
2014-01-09,7.0,1.68,8.0,25.0,16.0,0.0,3.0,2.0
2014-01-10,5.0,2.0,2.0,53.3,15.0,2.0,0.0,2.0
2014-01-11,5.0,4.34,10.4,52.3,14.0,0.0,1.0,0.2
2014-01-12,2.0,0.66,2.5,12.0,8.0,0.0,1.0,1.0
2014-01-13,7.34,7.66,6.2,52.0,9.0,0.0,7.0,1.0
2014-01-14,6.0,1.33,12.3,33.7,6.0,1.0,0.0,2.0
2014-01-15,4.0,2.34,5.0,26.7,12.0,2.0,3.0,3.0
2014-01-16,6.0,2.0,4.3,28.3,19.0,1.0,5.0,0.0
2014-01-17,2.0,3.68,8.3,20.4,15.0,0.0,6.0,3.0
2014-01-18,1.0,5.33,5.8,43.2,15.0,4.0,7.0,2.0
2014-01-19,4.33,4.0,4.0,14.1,4.0,0.0,1.0,1.0
2014-01-20,6.0,3.34,3.3,11.9,18.0,2.0,12.0,3.0
2014-01-21,2.0,3.34,4.0,42.0,15.0,2.0,0.0,1.0
2014-01-22,7.0,3.0,7.0,18.1,10.0,0.0,5.0,2.0
2014-01-23,4.0,4.67,5.2,26.2,2.0,3.0,1.0,3.0
2014-01-24,4.67,7.34,7.0,19.6,13.0,1.0,0.0,0.0
2014-01-25,6.0,9.0,5.0,37.8,18.0,0.0,5.0,1.0
2014-01-26,4.33,1.68,0.0,24.0,4.0,0.0,0.0,0.0
2014-01-27,4.34,4.67,1.2,23.6,17.0,2.0,1.0,3.0
2014-01-28,6.0,3.34,2.8,13.38,22.0,5.0,1.0,5.0
2014-01-29,5.33,4.0,2.0,14.0,10.0,1.0,1.0,2.0
2014-01-30,3.02,1.34,2.4,25.5,7.0,1.0,3.0,2.0
2014-01-31,1.0,2.68,7.1,26.9,9.0,0.0,1.0,0.0
